tagId;lat;lon;locationX;locationY;location;locationCategory;Fell off;Re-Activated & deployed;Activated;Weight;Type;Got Time;Notes_x;MonitorLog.txt;Bag #;Transponder #;Mass Total;Mass Bag;Mass Bat;Sex;FA(mm);Age;Repro State;Tooth Wear;Testes Width;Testes Length;Bites;Guano;Notes_y;Transponder #.1;_merge
FEAC;;;;;;;X;X;X;7.67 g;Tag;X;FALL OFF, FOUND @11:00 local time, 02.02.2023;TAG AROUND 30:83:98:D8:FE:AC: group: 0x12345678, id: FEAC, 4225 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;BS1;989001044396390.0;212.0;45.0;167.0;M;95.48;A;SCR;;11.41;16.21;N;;;390.0;both
FECC;;;;;;;;X;X;7.57 g;Tag;X;;TAG AROUND 30:83:98:D8:FE:CC: group: 0x12345678, id: FECC, 4228 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B73;989001044396519.0;210.0;45.0;165.0;M;96.3;A;SCR;;21.5;18.0;;;;519.0;both
FEFC;;;;;;;;X;X;7.63 g;Tag;X;Unprotected;TAG AROUND 30:83:98:D8:FE:FC: group: 0x12345678, id: FEFC, 4236 mV, lastErrorId: 183, errorCnt: 1, mirroredCmdByte: 0x00, state: 4/A0/T0;H3;989001044396447.0;195.0;47.0;148.0;M;93.96;A;SCR;1.0;16.52;15.72;N;;;447.0;both
FF1C;;;;;;;;X;X;7.85 g;Tag;X;;TAG AROUND 30:83:98:D8:FF:1C: group: 0x12345678, id: FF1C, 4254 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H17;989001044396491.0;215.0;50.0;165.0;M;98.59;A;SCR;;20.42;25.34;Y;;;491.0;both
FF8C;;;;;;;;X;X;7.63 g;Tag;X;;TAG AROUND 30:83:98:D8:FF:8C: group: 0x12345678, id: FF8C, 4214 mV, lastErrorId: 180, errorCnt: 1, mirroredCmdByte: 0x00, state: 4/A0/T0;S70;989001044396466.0;200.0;40.0;160.0;M;98.35;A;SCR;;19.4;18.5;;;;466.0;both
FF98;;;;;;;;X;X;7.65 g;Tag;X;;TAG AROUND 30:83:98:D8:FF:98: group: 0x12345678, id: FF98, 4258 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;H14;989001044396445.0;205.0;48.0;157.0;M;93.6;A;SCR;0.0;18.41;16.98;N;;;445.0;both
FFCC;;;;;;;;X;X;7.67 g;Tag;X;;TAG AROUND 30:83:98:D8:FF:CC: group: 0x12345678, id: FFCC, 4260 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;S30;989001044396396.0;210.0;40.0;170.0;M;96.46;A;SCR;;17.74;17.68;N;Y;;396.0;both
FFD4;;;;;;;X;X;X;7.69 g;Tag;X;FALL OFF, FOUND @11:00 local time, 01.02.2023;TAG AROUND 30:83:98:D8:FF:D4: group: 0x12345678, id: FFD4, 4242 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B72;989001044396452.0;200.0;45.0;155.0;M;96.02;A;SCR;;16.54;19.15;N;;;452.0;both
FFD8;;;;;;;;X;X;7.65 g;Tag;X;;TAG AROUND 30:83:98:D8:FF:D8: group: 0x12345678, id: FFD8, 4285 mV, lastErrorId: 0, errorCnt: 0, mirroredCmdByte: 0x00, state: 4/A0/T0;B30;989001044396497.0;200.0;40.0;150.0;F;96.8;A;PLAC;0.0;;;;;;497.0;both
FFFF;;;;;;;;X;X;7.68 g;Tag;X;;TAG AROUND 30:83:98:D9:00:00: group: 0x12345678, id: FFFF, 4208 mV, lastErrorId: 12, errorCnt: 1, mirroredCmdByte: 0x00, state: 4/A0/T0;H43;989001044396552.0;180.0;40.0;140.0;M;94.19;A;SCR;0.0;19.6;14.4;;;;552.0;both
